,Wind Speed
661,T. Storm
662,T. Depression
663,T. Depression
664,Category 3
665,T. Storm
666,T. Storm
667,T. Storm
668,T. Storm
669,T. Storm
670,T. Storm
671,T. Depression
672,T. Depression
673,T. Depression
674,Category 3
675,T. Depression
676,Category 3
677,T. Depression
678,T. Depression
679,T. Depression
680,T. Storm
681,T. Depression
682,Category 3
683,T. Depression
684,T. Storm
685,Category 3
686,T. Storm
687,T. Depression
688,T. Storm
689,T. Depression
690,Category 2
691,T. Depression
692,T. Storm
693,Category 3
694,T. Storm
695,T. Storm
696,Category 2
697,T. Depression
698,Category 1
699,T. Depression
700,T. Storm
701,T. Storm
702,Category 1
703,T. Storm
704,Category 1
705,Category 3
706,Category 2
707,Category 1
708,T. Storm
709,T. Depression
710,Category 1
711,T. Storm
712,T. Storm
713,T. Depression
714,T. Depression
715,T. Depression
716,T. Storm
717,T. Storm
718,T. Depression
719,Category 1
720,T. Depression
721,T. Depression
722,T. Storm
723,T. Depression
724,T. Depression
725,T. Storm
726,T. Depression
727,Category 3
728,Category 3
729,T. Depression
730,T. Depression
731,Category 1
732,T. Storm
733,T. Depression
734,T. Storm
735,Category 1
736,T. Storm
737,T. Depression
738,Category 1
739,T. Depression
740,T. Depression
741,Category 1
742,T. Depression
743,Category 1
744,T. Depression
745,T. Storm
746,T. Storm
747,Category 3
748,Category 3
749,T. Depression
750,Category 1
751,Category 2
752,T. Storm
753,T. Depression
754,Category 1
755,T. Storm
756,Category 3
757,T. Storm
758,T. Storm
759,Category 3
760,T. Depression
761,Category 1
762,T. Storm
763,T. Storm
764,T. Storm
765,T. Depression
766,T. Depression
767,Category 3
768,T. Depression
769,T. Storm
770,T. Storm
771,T. Storm
772,T. Depression
773,T. Storm
774,T. Storm
775,Category 3
776,T. Storm
777,T. Depression
778,T. Depression
779,T. Storm
780,T. Depression
781,Category 2
782,Category 1
783,Category 1
784,Category 1
785,T. Depression
786,Category 1
787,T. Storm
788,T. Depression
789,T. Storm
790,Category 3
791,T. Storm
792,T. Depression
793,Category 1
794,Category 3
795,T. Depression
796,Category 3
797,Category 3
798,Category 1
799,T. Depression
800,Category 1
801,Category 2
802,Category 3
803,T. Storm
804,T. Storm
805,Category 1
806,Category 1
807,T. Depression
808,T. Storm
809,Category 3
810,T. Storm
811,T. Storm
812,Category 2
813,T. Storm
814,T. Storm
815,Category 3
816,T. Depression
817,Category 3
818,Category 1
819,T. Storm
820,Category 3
821,T. Storm
822,T. Depression
823,T. Storm
824,T. Depression
825,Category 1
826,Category 3
827,Category 2
828,Category 3
829,T. Depression
830,Category 2
831,T. Storm
832,T. Storm
833,Category 1
834,T. Depression
835,Category 3
836,Category 2
837,T. Depression
838,T. Depression
839,Category 2
840,T. Storm
841,Category 2
842,Category 1
843,T. Storm
844,Category 3
845,T. Depression
846,T. Storm
847,Category 3
848,T. Depression
849,T. Storm
850,Category 3
851,Category 1
852,Category 3
853,T. Storm
854,T. Storm
855,T. Storm
856,Category 3
857,T. Storm
858,T. Depression
859,T. Storm
860,Category 3
861,T. Storm
862,T. Depression
863,T. Storm
864,Category 1
865,T. Storm
866,T. Depression
867,Category 3
868,Category 3
869,T. Depression
870,T. Storm
871,Category 3
872,Category 2
873,T. Depression
874,T. Depression
875,T. Storm
876,Category 1
877,T. Depression
878,Category 1
879,T. Depression
880,T. Depression
881,T. Storm
882,T. Storm
883,T. Storm
884,T. Depression
885,T. Depression
886,Category 3
887,T. Storm
888,T. Storm
889,Category 2
890,T. Depression
891,Category 1
892,T. Storm
893,Category 3
894,Category 2
895,T. Depression
896,T. Storm
897,Category 3
898,T. Storm
899,T. Storm
900,Category 2
901,T. Depression
902,T. Storm
903,Category 3
904,T. Depression
905,T. Depression
906,Category 1
907,Category 1
908,T. Depression
909,Category 1
910,T. Storm
911,T. Storm
912,T. Depression
913,T. Depression
914,T. Storm
915,Category 3
916,T. Storm
917,T. Storm
918,T. Storm
919,T. Storm
920,T. Storm
921,T. Depression
922,T. Storm
923,T. Depression
924,T. Depression
925,T. Depression
926,T. Depression
927,T. Storm
928,T. Depression
929,T. Storm
930,T. Storm
931,T. Storm
932,T. Storm
933,Category 1
934,T. Storm
935,Category 2
936,T. Depression
937,T. Depression
938,Category 2
939,T. Storm
940,Category 3
941,T. Storm
942,Category 1
943,Category 3
944,Category 3
945,T. Depression
946,Category 3
947,T. Depression
948,T. Depression
949,Category 1
950,Category 3
951,T. Storm
952,Category 2
953,T. Depression
954,T. Depression
955,T. Storm
956,T. Storm
957,Category 1
958,T. Depression
959,T. Depression
960,T. Depression
961,T. Depression
962,Category 1
963,T. Storm
964,T. Storm
965,Category 1
966,T. Storm
967,T. Storm
968,T. Depression
969,Category 1
970,Category 3
971,T. Depression
972,T. Depression
973,Category 1
974,T. Depression
975,T. Storm
976,Category 2
977,T. Depression
978,Category 3
979,T. Storm
980,T. Depression
981,Category 2
982,T. Storm
983,T. Depression
984,T. Depression
985,T. Depression
986,T. Depression
987,Category 2
988,T. Depression
989,T. Depression
990,Category 3
991,T. Storm
992,T. Depression
993,T. Depression
994,Category 1
995,T. Depression
996,T. Storm
997,T. Storm
998,T. Depression
999,Category 1
1000,T. Storm
1001,T. Depression
1002,T. Storm
1003,Category 3
1004,T. Depression
1005,T. Depression
1006,T. Storm
1007,T. Depression
1008,Category 3
1009,T. Depression
1010,Category 3
1011,T. Storm
1012,Category 3
1013,T. Storm
1014,T. Storm
1015,Category 2
1016,T. Storm
1017,Category 1
1018,T. Depression
1019,T. Storm
1020,Category 3
1021,Category 3
1022,Category 1
1023,T. Depression
1024,T. Storm
1025,T. Depression
1026,T. Depression
1027,T. Storm
1028,T. Storm
1029,T. Depression
1030,T. Storm
1031,T. Storm
1032,Category 1
1033,T. Storm
1034,T. Storm
1035,T. Storm
1036,Category 3
1037,T. Storm
1038,T. Depression
1039,Category 3
1040,T. Storm
1041,Category 1
1042,Category 1
1043,T. Storm
1044,Category 2
1045,Category 1
1046,T. Storm
1047,Category 3
1048,T. Depression
1049,T. Storm
1050,T. Depression
1051,Category 3
1052,T. Depression
1053,T. Depression
1054,T. Storm
1055,T. Storm
1056,T. Depression
1057,T. Storm
1058,T. Storm
1059,T. Depression
1060,T. Storm
1061,Category 2
1062,T. Depression
1063,T. Storm
1064,T. Storm
1065,Category 1
1066,T. Depression
1067,T. Depression
1068,T. Depression
1069,T. Storm
1070,T. Depression
1071,T. Storm
1072,T. Depression
1073,Category 3
1074,T. Storm
1075,T. Storm
1076,T. Depression
1077,Category 1
1078,T. Depression
1079,T. Depression
1080,T. Storm
1081,T. Depression
1082,T. Depression
1083,T. Depression
1084,Category 1
1085,T. Depression
1086,T. Storm
1087,Category 3
1088,Category 1
1089,T. Storm
1090,T. Storm
1091,T. Storm
1092,T. Depression
1093,Category 3
1094,T. Storm
1095,T. Depression
1096,T. Storm
1097,Category 3
1098,Category 2
1099,T. Depression
1100,T. Storm
1101,T. Depression
1102,Category 3
1103,T. Storm
1104,T. Storm
1105,T. Depression
1106,T. Depression
1107,T. Depression
1108,T. Depression
1109,Category 3
1110,Category 1
1111,T. Storm
1112,Category 1
1113,Category 1
1114,T. Depression
1115,T. Storm
1116,T. Depression
1117,T. Storm
1118,T. Storm
1119,Category 1
1120,T. Depression
1121,T. Depression
1122,T. Storm
1123,T. Storm
1124,T. Storm
1125,Category 3
1126,Category 3
1127,T. Storm
1128,Category 2
1129,T. Storm
1130,Category 3
1131,Category 3
1132,T. Depression
1133,Category 1
1134,Category 1
1135,Category 1
1136,Category 1
1137,T. Depression
1138,T. Depression
1139,T. Storm
1140,Category 1
1141,Category 3
1142,T. Storm
1143,Category 3
1144,T. Storm
1145,T. Storm
1146,T. Storm
1147,Category 3
1148,T. Storm
1149,Category 1
1150,T. Storm
1151,Category 1
1152,T. Depression
1153,T. Storm
1154,Category 2
1155,Category 3
1156,T. Storm
1157,Category 2
1158,T. Depression
1159,T. Storm
1160,T. Storm
1161,T. Depression
1162,Category 2
1163,Category 1
1164,Category 3
1165,Category 2
1166,Category 3
1167,T. Depression
1168,T. Storm
1169,T. Depression
1170,T. Storm
1171,T. Storm
1172,Category 1
1173,T. Depression
1174,Category 1
1175,T. Storm
1176,T. Depression
1177,T. Depression
1178,T. Storm
1179,Category 1
1180,T. Depression
1181,T. Storm
1182,Category 1
1183,T. Storm
1184,T. Storm
1185,T. Storm
1186,T. Storm
1187,T. Depression
1188,T. Storm
1189,T. Storm
1190,T. Storm
1191,Category 3
1192,T. Depression
1193,T. Depression
1194,T. Storm
1195,T. Depression
1196,T. Storm
1197,T. Depression
1198,T. Storm
1199,Category 1
1200,T. Storm
1201,Category 3
1202,T. Storm
1203,Category 1
1204,T. Depression
1205,T. Depression
1206,Category 3
1207,T. Storm
1208,T. Depression
1209,Category 2
1210,Category 3
1211,T. Depression
1212,Category 2
1213,Category 3
1214,T. Storm
1215,T. Storm
1216,Category 2
1217,T. Storm
1218,T. Storm
1219,T. Storm
1220,T. Storm
1221,Category 3
1222,Category 1
1223,Category 1
1224,Category 3
1225,Category 3
1226,T. Depression
1227,T. Depression
1228,Category 3
1229,T. Depression
1230,T. Depression
1231,T. Depression
1232,T. Storm
1233,T. Depression
1234,Category 3
1235,T. Depression
1236,T. Depression
1237,T. Depression
1238,T. Depression
1239,T. Storm
1240,T. Storm
1241,T. Storm
1242,T. Storm
1243,T. Depression
1244,T. Depression
1245,Category 1
1246,Category 3
1247,Category 1
1248,T. Storm
1249,Category 1
1250,T. Depression
1251,T. Storm
1252,T. Storm
1253,Category 3
1254,T. Depression
1255,T. Storm
1256,T. Depression
1257,T. Storm
1258,T. Depression
1259,Category 3
1260,T. Depression
1261,T. Depression
1262,Category 3
1263,Category 2
1264,T. Depression
1265,Category 1
1266,T. Depression
1267,T. Depression
1268,Category 1
1269,T. Storm
1270,Category 1
1271,Category 2
1272,T. Storm
1273,Category 3
1274,Category 3
1275,T. Storm
1276,T. Depression
1277,T. Depression
1278,Category 3
1279,T. Storm
1280,T. Storm
1281,Category 1
1282,Category 3
1283,Category 1
1284,T. Storm
1285,Category 1
1286,T. Storm
1287,T. Storm
1288,T. Storm
1289,T. Storm
1290,T. Depression
1291,T. Storm
1292,T. Depression
1293,T. Storm
1294,T. Depression
1295,T. Storm
1296,T. Storm
1297,T. Depression
1298,Category 3
1299,T. Depression
1300,T. Storm
1301,Category 1
1302,T. Storm
1303,Category 3
1304,T. Depression
1305,T. Depression
1306,T. Storm
1307,T. Storm
1308,Category 1
1309,Category 2
1310,Category 3
1311,T. Storm
1312,T. Storm
1313,Category 3
1314,Category 3
1315,Category 2
1316,T. Depression
1317,T. Depression
1318,Category 1
1319,T. Depression
1320,T. Storm
1321,Category 3
1322,Category 2
1323,T. Depression
1324,Category 1
1325,Category 3
1326,T. Storm
1327,T. Storm
1328,Category 3
1329,T. Depression
1330,T. Depression
1331,Category 3
1332,Category 3
1333,T. Depression
1334,T. Storm
1335,T. Storm
1336,T. Storm
1337,Category 2
1338,Category 1
1339,Category 2
1340,T. Storm
1341,Category 1
1342,Category 2
1343,T. Storm
1344,Category 1
1345,T. Storm
1346,Category 2
1347,T. Storm
1348,T. Depression
1349,Category 2
1350,Category 3
1351,T. Depression
1352,T. Storm
1353,T. Depression
1354,Category 2
1355,T. Depression
1356,Category 2
1357,Category 1
1358,Category 1
1359,T. Storm
1360,T. Storm
1361,T. Depression
1362,Category 3
1363,T. Storm
1364,T. Depression
1365,T. Storm
1366,T. Depression
1367,Category 2
1368,T. Storm
1369,Category 3
1370,Category 1
1371,T. Storm
1372,T. Storm
1373,T. Storm
1374,T. Storm
1375,T. Storm
1376,T. Storm
1377,T. Storm
1378,T. Depression
1379,T. Storm
1380,Category 1
1381,Category 3
1382,T. Depression
1383,T. Storm
1384,Category 1
1385,T. Depression
1386,T. Storm
1387,Category 2
1388,T. Storm
1389,T. Depression
1390,T. Depression
1391,Category 2
1392,T. Storm
1393,T. Depression
1394,T. Depression
1395,T. Depression
1396,T. Depression
1397,T. Depression
1398,Category 1
1399,T. Storm
1400,T. Depression
1401,T. Depression
1402,T. Depression
1403,T. Depression
1404,Category 3
1405,Category 1
1406,Category 1
1407,Category 1
1408,T. Storm
1409,T. Depression
1410,Category 3
1411,Category 3
1412,Category 2
1413,T. Depression
1414,T. Depression
1415,T. Storm
1416,T. Storm
1417,T. Depression
1418,T. Depression
1419,T. Depression
1420,T. Depression
1421,T. Depression
1422,Category 3
1423,T. Storm
1424,T. Storm
1425,T. Depression
1426,Category 3
1427,T. Storm
1428,Category 3
1429,T. Depression
1430,T. Storm
1431,T. Depression
1432,T. Depression
1433,T. Storm
1434,T. Depression
1435,T. Storm
1436,T. Depression
1437,T. Storm
1438,T. Storm
1439,T. Depression
1440,T. Storm
1441,T. Storm
1442,Category 3
1443,Category 1
1444,Category 3
1445,Category 3
1446,T. Depression
1447,T. Storm
1448,T. Storm
1449,T. Depression
1450,Category 1
1451,T. Depression
1452,T. Depression
1453,Category 3
1454,T. Depression
1455,Category 1
1456,T. Depression
1457,Category 1
1458,Category 3
1459,T. Depression
1460,Category 2
1461,T. Depression
1462,T. Depression
1463,T. Depression
1464,T. Storm
1465,T. Depression
1466,T. Storm
1467,T. Storm
1468,T. Storm
1469,T. Depression
1470,T. Depression
1471,Category 1
1472,Category 1
1473,T. Storm
1474,T. Depression
1475,T. Depression
1476,T. Storm
1477,Category 1
1478,T. Depression
1479,T. Storm
1480,Category 1
1481,T. Depression
1482,T. Storm
1483,Category 2
1484,T. Depression
1485,T. Storm
1486,T. Depression
1487,T. Depression
1488,T. Depression
1489,Category 1
1490,Category 2
1491,T. Storm
1492,Category 1
1493,T. Storm
1494,Category 3
1495,T. Storm
1496,Category 1
1497,Category 2
1498,T. Storm
1499,T. Depression
1500,Category 1
1501,Category 1
1502,T. Storm
1503,T. Storm
1504,T. Depression
1505,Category 3
1506,Category 1
1507,T. Storm
1508,T. Depression
1509,T. Storm
1510,T. Storm
1511,T. Storm
1512,Category 1
1513,Category 1
1514,T. Depression
1515,Category 1
1516,T. Depression
1517,T. Storm
1518,T. Depression
1519,Category 3
1520,T. Depression
1521,T. Storm
1522,T. Storm
1523,T. Storm
1524,Category 3
1525,Category 1
1526,T. Depression
1527,T. Depression
1528,T. Depression
1529,T. Depression
1530,Category 2
1531,Category 1
1532,T. Depression
1533,Category 2
1534,T. Storm
1535,T. Storm
1536,T. Depression
1537,T. Depression
1538,T. Storm
1539,T. Depression
1540,T. Depression
1541,T. Storm
1542,T. Depression
1543,T. Storm
1544,T. Storm
1545,T. Depression
1546,Category 3
1547,Category 1
1548,T. Depression
1549,T. Storm
1550,T. Depression
1551,T. Depression
1552,T. Storm
1553,T. Depression
1554,Category 1
1555,T. Depression
1556,T. Storm
1557,Category 1
1558,T. Depression
1559,Category 3
1560,Category 3
1561,T. Depression
1562,T. Depression
1563,T. Depression
1564,T. Depression
1565,T. Storm
1566,Category 1
1567,T. Depression
1568,Category 3
1569,T. Depression
1570,T. Storm
1571,T. Depression
1572,Category 3
1573,Category 1
1574,Category 1
1575,T. Depression
1576,T. Storm
1577,Category 1
1578,T. Storm
1579,Category 3
1580,T. Depression
1581,Category 3
1582,T. Depression
1583,T. Depression
1584,Category 3
1585,T. Storm
1586,T. Storm
1587,Category 3
1588,Category 1
1589,Category 3
1590,T. Depression
1591,T. Storm
1592,Category 1
1593,T. Depression
1594,Category 3
1595,T. Storm
1596,T. Storm
1597,T. Storm
1598,Category 2
1599,T. Depression
1600,T. Storm
1601,T. Storm
1602,T. Storm
1603,T. Storm
1604,T. Storm
1605,Category 2
1606,Category 1
1607,T. Storm
1608,Category 2
1609,Category 3
1610,T. Depression
1611,T. Storm
1612,T. Storm
1613,Category 3
1614,T. Storm
1615,T. Depression
1616,Category 3
1617,T. Depression
1618,T. Depression
1619,T. Depression
1620,T. Storm
1621,Category 1
1622,T. Storm
1623,T. Depression
1624,T. Depression
1625,T. Storm
1626,Category 1
1627,Category 2
1628,T. Depression
1629,Category 3
1630,Category 1
1631,Category 3
1632,Category 3
1633,T. Storm
1634,T. Storm
1635,T. Depression
1636,T. Storm
1637,T. Depression
1638,Category 3
1639,T. Depression
1640,T. Storm
1641,T. Depression
1642,Category 3
1643,Category 1
1644,T. Depression
1645,T. Depression
1646,Category 1
1647,Category 1
1648,T. Storm
1649,Category 1
1650,T. Depression
1651,Category 2
1652,T. Storm
1653,T. Storm
1654,Category 1
1655,T. Depression
1656,T. Storm
1657,T. Storm
1658,T. Depression
1659,T. Depression
1660,T. Storm
1661,T. Storm
1662,T. Storm
1663,T. Depression
1664,Category 2
1665,T. Storm
1666,T. Storm
1667,Category 3
1668,T. Storm
1669,T. Storm
1670,T. Storm
1671,Category 1
1672,Category 1
1673,Category 3
1674,T. Storm
1675,T. Depression
1676,T. Depression
1677,Category 1
1678,T. Storm
1679,T. Storm
1680,T. Depression
1681,T. Storm
1682,T. Depression
1683,Category 2
1684,T. Depression
1685,T. Storm
1686,T. Storm
1687,Category 1
1688,T. Depression
1689,T. Storm
1690,T. Storm
1691,T. Depression
1692,T. Storm
1693,T. Depression
1694,T. Depression
1695,Category 1
1696,T. Storm
1697,T. Depression
1698,Category 1
1699,T. Storm
1700,T. Depression
1701,T. Storm
1702,T. Depression
1703,Category 1
1704,T. Storm
1705,T. Depression
1706,T. Depression
1707,T. Depression
1708,Category 3
1709,Category 3
1710,T. Depression
1711,Category 1
1712,T. Depression
1713,Category 3
1714,Category 3
1715,T. Depression
1716,T. Storm
1717,Category 3
1718,T. Depression
1719,T. Storm
1720,T. Depression
1721,Category 3
1722,T. Depression
1723,T. Storm
1724,T. Depression
1725,Category 2
1726,T. Storm
1727,T. Depression
1728,T. Depression
1729,T. Storm
1730,Category 3
