,Wind Speed
371,T. Storm
372,T. Storm
373,T. Storm
374,Category 3
375,T. Depression
376,Category 3
377,T. Storm
378,T. Depression
379,Category 3
380,T. Depression
381,T. Depression
382,T. Storm
383,T. Storm
384,T. Storm
385,T. Storm
386,T. Storm
387,T. Storm
388,T. Depression
389,T. Depression
390,Category 1
391,T. Storm
392,T. Storm
393,T. Storm
394,Category 1
395,T. Storm
396,T. Storm
397,T. Storm
398,T. Storm
399,Category 2
400,T. Depression
401,T. Depression
402,T. Storm
403,Category 1
404,T. Storm
405,T. Storm
406,T. Depression
407,Category 1
408,T. Storm
409,T. Storm
410,Category 3
411,T. Storm
412,T. Storm
413,T. Storm
414,T. Storm
415,T. Storm
416,Category 1
417,T. Depression
418,T. Storm
419,T. Storm
420,T. Storm
421,T. Depression
422,T. Storm
423,T. Storm
424,T. Storm
425,Category 1
426,T. Storm
427,Category 1
428,T. Storm
429,Category 1
430,T. Storm
431,T. Storm
432,T. Storm
433,T. Depression
434,T. Storm
435,Category 1
436,T. Storm
437,T. Storm
438,T. Storm
439,T. Depression
440,T. Depression
441,T. Storm
442,Category 2
443,Category 1
444,T. Depression
445,T. Storm
446,Category 1
447,T. Storm
448,T. Depression
449,T. Depression
450,Category 3
451,Category 1
452,T. Storm
453,T. Storm
454,T. Depression
455,T. Storm
456,T. Storm
457,Category 1
458,Category 2
459,T. Depression
460,T. Storm
461,T. Depression
462,Category 1
463,T. Storm
464,Category 3
465,T. Depression
466,Category 1
467,Category 3
468,T. Storm
469,Category 2
470,T. Storm
471,T. Depression
472,T. Depression
473,T. Depression
474,T. Storm
475,T. Storm
476,Category 3
477,T. Depression
478,T. Storm
479,T. Depression
480,T. Storm
481,T. Storm
482,T. Storm
483,T. Depression
484,T. Storm
485,T. Depression
486,T. Depression
487,T. Storm
488,Category 2
489,T. Storm
490,T. Depression
491,T. Storm
492,Category 1
493,T. Storm
494,T. Storm
495,T. Depression
496,T. Storm
497,T. Storm
498,T. Storm
499,T. Storm
500,Category 3
501,Category 1
502,T. Storm
503,T. Storm
504,T. Storm
505,T. Depression
506,Category 2
507,T. Depression
508,T. Storm
509,T. Storm
510,Category 1
511,T. Storm
512,T. Depression
513,T. Storm
514,Category 3
515,T. Storm
516,T. Depression
517,T. Depression
518,Category 3
519,T. Depression
520,Category 3
521,Category 1
522,Category 1
523,T. Depression
524,T. Depression
525,T. Storm
526,T. Storm
527,T. Storm
528,Category 1
529,T. Storm
530,Category 1
531,T. Storm
532,T. Storm
533,T. Depression
534,Category 1
535,T. Depression
536,Category 1
537,T. Storm
538,Category 1
539,Category 3
540,T. Storm
541,T. Storm
542,Category 1
543,T. Depression
544,T. Storm
545,T. Storm
546,T. Storm
547,Category 2
548,T. Storm
549,T. Depression
550,T. Depression
551,Category 1
552,T. Depression
553,T. Depression
554,T. Depression
555,T. Storm
556,T. Depression
557,Category 1
558,Category 2
559,T. Storm
560,T. Storm
561,T. Storm
562,Category 1
563,T. Storm
564,T. Storm
565,T. Storm
566,T. Storm
567,T. Storm
568,T. Depression
569,T. Depression
570,T. Storm
571,T. Storm
572,T. Storm
573,T. Storm
574,T. Storm
575,Category 1
576,T. Depression
577,T. Depression
578,T. Storm
579,T. Storm
580,Category 1
581,T. Depression
582,T. Depression
583,T. Depression
584,Category 1
585,T. Storm
586,Category 1
587,T. Depression
588,T. Storm
589,Category 3
590,T. Depression
591,Category 2
592,T. Storm
593,T. Storm
594,T. Depression
595,T. Storm
596,Category 1
597,T. Storm
598,T. Depression
599,T. Depression
600,Category 1
601,Category 3
602,Category 2
603,Category 1
604,T. Storm
605,T. Storm
606,T. Storm
607,T. Storm
608,T. Depression
609,T. Depression
610,T. Storm
611,T. Storm
612,Category 3
613,T. Storm
614,T. Storm
615,T. Depression
616,T. Storm
617,T. Depression
618,T. Storm
619,T. Storm
620,T. Storm
621,T. Depression
622,T. Storm
623,T. Depression
624,T. Storm
625,T. Storm
626,T. Storm
627,T. Depression
628,T. Storm
629,T. Storm
630,T. Storm
631,T. Depression
632,T. Storm
633,T. Depression
634,T. Storm
635,T. Storm
636,T. Depression
637,T. Storm
638,Category 1
639,T. Storm
640,Category 3
641,T. Storm
642,T. Depression
643,Category 1
644,T. Storm
645,T. Depression
646,Category 1
647,T. Storm
648,T. Depression
649,Category 1
650,T. Storm
651,T. Depression
652,T. Storm
653,T. Storm
654,Category 3
655,T. Storm
656,T. Storm
657,T. Depression
658,T. Depression
659,T. Storm
660,T. Storm
661,Category 1
662,T. Storm
663,T. Depression
664,T. Storm
665,Category 1
666,T. Storm
667,T. Depression
668,T. Storm
669,T. Storm
670,T. Depression
671,T. Storm
672,T. Depression
673,Category 2
674,T. Depression
675,T. Storm
676,T. Storm
677,Category 3
678,T. Depression
679,T. Storm
680,T. Storm
681,T. Storm
682,T. Depression
683,Category 3
684,T. Storm
685,T. Storm
686,T. Storm
687,T. Depression
688,T. Storm
689,T. Storm
690,T. Storm
691,T. Depression
692,T. Storm
693,T. Depression
694,T. Depression
695,T. Depression
696,Category 3
697,T. Storm
698,T. Storm
699,T. Depression
700,Category 1
701,T. Storm
702,T. Storm
703,Category 2
704,T. Storm
705,T. Storm
706,Category 3
707,T. Storm
708,T. Storm
709,T. Storm
710,Category 1
711,T. Storm
712,Category 1
713,Category 1
714,T. Storm
715,T. Depression
716,Category 3
717,T. Storm
718,T. Storm
719,T. Storm
720,Category 3
721,T. Storm
722,T. Storm
723,T. Depression
724,T. Storm
725,Category 1
726,T. Storm
727,T. Storm
728,Category 1
729,Category 1
730,Category 1
731,Category 3
732,T. Storm
733,T. Storm
734,Category 1
735,T. Depression
736,T. Storm
737,T. Depression
738,Category 1
739,T. Depression
740,Category 1
741,T. Depression
742,T. Storm
743,T. Depression
744,T. Depression
745,Category 1
746,T. Depression
747,Category 1
748,T. Storm
749,T. Storm
750,T. Storm
751,Category 1
752,T. Depression
753,T. Depression
754,T. Storm
755,T. Storm
756,Category 2
757,T. Storm
758,T. Depression
759,T. Storm
760,Category 3
761,T. Depression
762,T. Depression
763,T. Storm
764,T. Depression
765,Category 1
766,T. Storm
767,Category 1
768,T. Depression
769,Category 2
770,T. Storm
771,T. Depression
772,Category 1
773,T. Storm
774,T. Depression
775,T. Storm
776,T. Storm
777,T. Storm
778,Category 2
779,T. Storm
780,T. Storm
781,T. Depression
782,Category 3
783,T. Depression
784,T. Storm
785,T. Storm
786,Category 3
787,T. Storm
788,Category 1
789,T. Storm
790,T. Storm
791,T. Depression
792,T. Storm
793,T. Storm
794,T. Depression
795,T. Storm
796,T. Storm
797,T. Storm
798,T. Depression
799,T. Storm
800,T. Depression
801,T. Storm
802,T. Storm
803,T. Storm
804,Category 2
805,T. Depression
806,T. Storm
807,T. Storm
808,T. Storm
809,T. Depression
810,T. Depression
811,Category 3
812,T. Depression
813,T. Storm
814,T. Storm
815,T. Storm
816,T. Storm
817,T. Storm
818,T. Depression
819,T. Storm
820,T. Depression
821,T. Storm
822,Category 1
823,T. Storm
824,T. Storm
825,Category 3
826,T. Storm
827,Category 3
828,T. Depression
829,Category 1
830,T. Storm
831,T. Depression
832,T. Storm
833,T. Storm
834,T. Depression
835,T. Depression
836,T. Depression
837,T. Depression
838,T. Storm
839,T. Storm
840,T. Depression
841,Category 2
842,Category 1
843,T. Storm
844,T. Storm
845,T. Storm
846,T. Storm
847,Category 1
848,T. Storm
849,Category 1
850,Category 2
851,T. Depression
852,Category 3
853,T. Storm
854,T. Storm
855,T. Storm
856,T. Depression
857,T. Depression
858,T. Depression
859,T. Storm
860,T. Depression
861,T. Storm
862,T. Storm
863,Category 1
864,T. Depression
865,T. Storm
866,T. Storm
867,T. Depression
868,T. Storm
869,T. Storm
870,Category 1
871,T. Storm
872,T. Storm
873,T. Depression
874,T. Storm
875,T. Depression
876,T. Storm
877,T. Depression
878,T. Storm
879,T. Depression
880,T. Storm
881,T. Depression
882,T. Storm
883,T. Storm
884,Category 1
885,T. Depression
886,T. Depression
887,T. Storm
888,T. Storm
889,Category 3
890,T. Storm
891,T. Storm
892,T. Depression
893,Category 3
894,Category 3
895,Category 3
896,T. Storm
897,T. Storm
898,Category 3
899,T. Storm
900,T. Depression
901,T. Depression
902,T. Storm
903,T. Storm
904,T. Depression
905,Category 1
906,Category 3
907,T. Depression
908,T. Depression
909,T. Storm
910,T. Depression
911,T. Depression
912,T. Storm
913,T. Storm
914,T. Storm
915,T. Storm
916,T. Storm
917,Category 3
918,T. Storm
919,T. Storm
920,T. Depression
921,Category 1
922,Category 1
923,T. Depression
924,T. Depression
925,Category 3
926,T. Storm
927,T. Storm
928,T. Storm
929,Category 1
930,T. Depression
931,T. Storm
932,T. Storm
933,Category 2
934,T. Storm
935,T. Depression
936,T. Depression
937,T. Storm
938,T. Storm
939,Category 1
940,Category 1
941,T. Storm
942,T. Depression
943,T. Depression
944,T. Depression
945,T. Storm
946,T. Storm
947,T. Depression
948,T. Depression
949,T. Storm
950,Category 3
951,T. Depression
952,Category 1
953,T. Depression
954,T. Storm
955,Category 1
956,T. Depression
957,T. Storm
958,T. Storm
959,T. Storm
960,T. Storm
961,T. Depression
962,T. Storm
963,T. Storm
964,T. Depression
965,T. Storm
966,T. Depression
967,T. Storm
968,T. Storm
969,Category 3
970,Category 3
971,T. Storm
972,T. Storm
973,Category 3
974,T. Storm
975,T. Storm
976,T. Storm
977,T. Storm
978,T. Depression
979,T. Storm
980,T. Depression
981,T. Depression
982,T. Depression
983,T. Storm
984,T. Storm
985,T. Storm
986,T. Storm
987,T. Storm
988,T. Storm
989,Category 1
990,T. Depression
991,T. Storm
992,T. Depression
993,T. Storm
994,T. Storm
995,T. Storm
996,T. Storm
997,T. Storm
998,T. Depression
999,T. Storm
1000,T. Storm
1001,T. Storm
1002,T. Depression
1003,T. Depression
1004,Category 2
1005,T. Depression
1006,T. Depression
1007,T. Depression
1008,T. Storm
1009,T. Storm
1010,T. Storm
1011,T. Storm
1012,Category 2
1013,T. Storm
1014,T. Storm
1015,Category 3
1016,T. Storm
1017,T. Storm
1018,T. Depression
1019,T. Depression
1020,T. Storm
1021,Category 1
1022,T. Storm
1023,Category 1
1024,T. Storm
1025,Category 3
1026,T. Depression
1027,T. Storm
1028,T. Storm
1029,T. Storm
1030,T. Depression
1031,T. Depression
1032,T. Depression
1033,T. Depression
1034,Category 1
1035,T. Storm
1036,T. Depression
1037,T. Depression
1038,T. Depression
1039,T. Depression
1040,T. Storm
1041,T. Depression
1042,T. Depression
1043,T. Depression
1044,Category 1
1045,T. Storm
1046,T. Storm
1047,T. Storm
1048,T. Storm
1049,T. Storm
1050,T. Depression
1051,T. Depression
1052,T. Depression
1053,T. Depression
1054,Category 1
1055,Category 1
1056,T. Storm
1057,T. Depression
1058,T. Storm
1059,Category 1
1060,Category 1
1061,T. Storm
1062,T. Storm
1063,Category 1
1064,T. Storm
1065,Category 1
1066,T. Storm
1067,T. Storm
1068,T. Storm
1069,T. Storm
1070,Category 1
1071,T. Storm
1072,T. Storm
1073,T. Depression
1074,T. Depression
1075,Category 2
1076,T. Storm
1077,T. Storm
1078,Category 3
1079,T. Storm
1080,T. Storm
1081,T. Storm
1082,T. Depression
1083,T. Depression
1084,T. Depression
1085,T. Storm
1086,T. Depression
1087,T. Storm
1088,Category 3
1089,T. Storm
1090,T. Depression
1091,T. Depression
1092,T. Depression
1093,T. Storm
1094,T. Storm
1095,Category 3
1096,Category 1
1097,Category 1
1098,T. Depression
1099,T. Depression
1100,T. Storm
1101,T. Storm
1102,T. Depression
1103,T. Depression
1104,T. Depression
1105,T. Depression
1106,T. Storm
1107,T. Storm
1108,Category 1
1109,T. Storm
1110,T. Depression
1111,Category 1
1112,Category 1
1113,T. Storm
1114,T. Depression
1115,Category 2
1116,Category 3
1117,T. Storm
1118,T. Depression
1119,T. Storm
1120,T. Depression
1121,Category 1
1122,T. Storm
1123,T. Storm
1124,T. Storm
1125,T. Storm
1126,T. Storm
1127,T. Storm
1128,T. Storm
1129,T. Storm
1130,T. Depression
1131,T. Depression
1132,T. Depression
1133,T. Depression
1134,Category 2
1135,Category 2
1136,Category 2
1137,Category 2
1138,T. Storm
1139,T. Depression
1140,T. Storm
1141,T. Depression
1142,T. Storm
1143,Category 1
1144,Category 1
1145,T. Storm
1146,T. Storm
1147,T. Storm
1148,T. Depression
1149,T. Storm
1150,Category 1
1151,T. Storm
1152,T. Storm
1153,T. Storm
1154,Category 1
1155,T. Storm
1156,T. Storm
1157,T. Storm
1158,T. Depression
1159,T. Storm
1160,T. Storm
1161,T. Depression
1162,T. Depression
1163,T. Depression
1164,T. Storm
1165,Category 1
1166,T. Storm
1167,T. Storm
1168,Category 1
1169,T. Depression
1170,Category 1
1171,T. Storm
1172,T. Depression
1173,Category 1
1174,T. Storm
1175,Category 3
1176,T. Storm
1177,Category 1
1178,Category 3
1179,T. Depression
1180,T. Storm
1181,T. Storm
1182,T. Storm
1183,Category 1
1184,T. Storm
1185,T. Depression
1186,T. Depression
1187,T. Storm
1188,T. Storm
1189,Category 1
1190,T. Storm
1191,T. Storm
1192,Category 1
1193,T. Depression
1194,T. Storm
1195,Category 3
1196,Category 3
1197,T. Depression
1198,T. Depression
1199,T. Storm
1200,T. Storm
1201,T. Depression
1202,T. Depression
1203,Category 1
1204,T. Storm
1205,T. Storm
1206,Category 1
1207,T. Storm
1208,T. Storm
1209,T. Depression
1210,T. Storm
1211,T. Storm
1212,T. Storm
1213,Category 1
1214,T. Storm
1215,T. Storm
1216,T. Storm
1217,Category 1
1218,T. Storm
1219,Category 3
1220,T. Depression
1221,T. Storm
1222,T. Depression
1223,T. Storm
1224,T. Depression
1225,T. Storm
1226,T. Storm
1227,T. Storm
1228,Category 1
1229,T. Depression
1230,T. Storm
1231,T. Storm
1232,T. Storm
1233,T. Depression
1234,T. Depression
1235,T. Storm
1236,T. Storm
1237,T. Storm
1238,T. Storm
1239,T. Storm
1240,T. Depression
1241,T. Storm
1242,Category 1
1243,T. Depression
1244,T. Storm
1245,T. Storm
1246,Category 2
1247,T. Storm
1248,Category 3
1249,T. Depression
1250,T. Depression
1251,T. Storm
1252,T. Storm
1253,T. Storm
1254,T. Depression
1255,T. Storm
1256,Category 2
1257,Category 1
1258,T. Depression
1259,Category 1
1260,T. Depression
1261,Category 3
1262,Category 1
1263,T. Depression
1264,T. Depression
1265,Category 2
1266,Category 1
1267,T. Storm
1268,T. Depression
1269,T. Depression
1270,Category 2
1271,T. Storm
1272,T. Depression
1273,Category 2
1274,T. Storm
1275,Category 1
1276,T. Storm
1277,T. Depression
1278,Category 3
1279,T. Depression
1280,T. Storm
1281,T. Storm
1282,T. Storm
1283,T. Storm
1284,T. Depression
1285,Category 2
1286,T. Storm
1287,T. Depression
1288,Category 1
1289,T. Storm
1290,T. Depression
1291,T. Depression
1292,T. Storm
1293,T. Depression
1294,Category 1
1295,Category 2
1296,Category 2
1297,Category 1
1298,T. Depression
1299,T. Storm
1300,T. Storm
1301,T. Depression
1302,Category 3
1303,T. Storm
1304,T. Storm
1305,T. Storm
1306,T. Storm
1307,Category 3
1308,T. Storm
1309,T. Storm
1310,T. Storm
1311,T. Storm
1312,T. Depression
1313,Category 1
1314,Category 3
1315,T. Storm
1316,T. Storm
1317,T. Storm
1318,Category 1
1319,T. Storm
1320,Category 1
1321,Category 3
1322,Category 2
1323,T. Storm
1324,T. Storm
1325,T. Depression
1326,T. Storm
1327,T. Depression
1328,T. Storm
1329,T. Depression
1330,T. Storm
1331,T. Storm
1332,T. Depression
1333,T. Storm
1334,T. Storm
1335,T. Depression
1336,T. Depression
1337,Category 1
1338,T. Storm
1339,T. Storm
1340,Category 2
1341,T. Storm
1342,T. Depression
1343,T. Depression
1344,T. Depression
1345,T. Storm
1346,T. Storm
1347,T. Depression
1348,Category 3
1349,T. Storm
1350,T. Storm
1351,T. Storm
1352,T. Storm
1353,T. Depression
1354,T. Depression
1355,T. Storm
1356,Category 1
1357,Category 1
1358,T. Storm
1359,T. Storm
1360,T. Storm
1361,T. Depression
1362,T. Storm
1363,Category 1
1364,T. Storm
1365,T. Storm
1366,T. Storm
1367,T. Depression
1368,T. Depression
1369,T. Storm
1370,T. Depression
1371,T. Depression
1372,T. Storm
1373,Category 3
1374,T. Storm
1375,Category 2
1376,T. Depression
1377,T. Storm
1378,T. Depression
1379,T. Depression
1380,T. Storm
1381,Category 1
1382,Category 1
1383,T. Depression
1384,Category 1
1385,Category 3
1386,T. Depression
1387,T. Storm
1388,Category 1
1389,T. Depression
1390,T. Depression
1391,T. Depression
1392,T. Depression
1393,T. Depression
1394,Category 1
1395,T. Depression
1396,T. Depression
1397,T. Storm
1398,Category 1
1399,T. Storm
1400,T. Storm
1401,T. Depression
1402,T. Storm
1403,T. Storm
1404,T. Depression
1405,T. Storm
1406,T. Storm
1407,Category 1
1408,T. Depression
1409,Category 3
1410,Category 3
1411,T. Depression
1412,T. Storm
1413,T. Depression
1414,T. Storm
1415,T. Storm
1416,Category 2
1417,T. Storm
1418,T. Depression
1419,Category 3
1420,Category 1
1421,T. Storm
1422,T. Depression
1423,T. Depression
1424,T. Storm
1425,T. Depression
1426,T. Storm
1427,Category 1
1428,T. Depression
1429,T. Storm
1430,T. Storm
1431,Category 3
1432,T. Depression
1433,Category 3
1434,Category 1
1435,T. Depression
1436,T. Depression
1437,T. Storm
1438,Category 1
1439,T. Storm
1440,T. Storm
1441,T. Storm
1442,T. Depression
1443,T. Depression
1444,Category 3
1445,Category 1
1446,Category 1
1447,T. Storm
1448,T. Depression
1449,Category 3
1450,T. Storm
1451,T. Depression
1452,Category 1
1453,T. Depression
1454,T. Storm
1455,T. Storm
1456,Category 1
1457,T. Storm
1458,T. Storm
1459,T. Storm
1460,T. Storm
1461,T. Storm
1462,T. Storm
1463,Category 1
1464,T. Depression
1465,T. Storm
1466,Category 2
1467,T. Storm
1468,T. Storm
1469,T. Storm
1470,Category 2
1471,T. Storm
1472,T. Storm
1473,T. Storm
1474,T. Storm
1475,T. Depression
1476,T. Depression
1477,T. Storm
1478,Category 1
1479,Category 1
1480,T. Storm
1481,T. Depression
1482,T. Depression
1483,T. Depression
1484,T. Storm
1485,Category 1
1486,T. Storm
1487,T. Depression
1488,T. Storm
1489,Category 1
1490,T. Depression
1491,T. Storm
1492,T. Storm
1493,T. Storm
1494,T. Storm
1495,Category 1
1496,T. Depression
1497,T. Storm
1498,Category 1
1499,T. Depression
1500,T. Depression
1501,T. Storm
1502,T. Storm
1503,T. Depression
1504,T. Depression
1505,T. Depression
1506,T. Storm
1507,T. Storm
1508,T. Depression
1509,T. Depression
1510,Category 3
1511,Category 1
1512,T. Depression
1513,T. Depression
1514,T. Storm
1515,Category 1
1516,T. Storm
1517,T. Depression
1518,T. Depression
1519,T. Depression
1520,T. Depression
1521,T. Depression
1522,T. Depression
1523,Category 1
1524,Category 3
1525,T. Storm
1526,Category 3
1527,T. Storm
1528,T. Depression
1529,T. Storm
1530,T. Storm
1531,T. Depression
1532,T. Depression
1533,T. Storm
1534,T. Depression
1535,T. Depression
1536,T. Storm
1537,T. Depression
1538,T. Storm
1539,T. Depression
1540,Category 1
1541,T. Storm
1542,T. Depression
1543,T. Depression
1544,T. Storm
1545,T. Depression
1546,Category 3
1547,Category 1
1548,T. Depression
1549,Category 1
1550,Category 3
1551,T. Storm
1552,T. Storm
1553,Category 1
1554,Category 1
1555,T. Storm
1556,T. Depression
1557,Category 1
1558,Category 3
1559,Category 3
1560,T. Storm
1561,T. Storm
1562,Category 3
1563,T. Storm
1564,Category 1
1565,T. Storm
1566,T. Storm
1567,Category 1
1568,T. Storm
1569,T. Storm
1570,Category 3
1571,Category 1
1572,T. Storm
1573,T. Storm
1574,T. Storm
1575,T. Depression
1576,T. Depression
1577,Category 3
1578,T. Storm
1579,Category 1
1580,Category 1
1581,T. Storm
1582,Category 1
1583,T. Storm
1584,T. Storm
1585,T. Depression
1586,T. Storm
1587,T. Storm
1588,T. Storm
1589,T. Storm
1590,Category 3
1591,T. Depression
1592,T. Storm
1593,T. Storm
1594,Category 2
1595,T. Storm
1596,T. Storm
1597,T. Storm
1598,T. Storm
1599,T. Storm
1600,T. Storm
1601,T. Storm
1602,T. Depression
1603,T. Depression
1604,T. Storm
1605,Category 1
1606,T. Storm
1607,T. Depression
1608,Category 2
1609,Category 3
1610,Category 3
1611,T. Depression
1612,Category 1
1613,T. Storm
1614,T. Storm
1615,T. Storm
1616,T. Storm
1617,T. Depression
1618,T. Storm
1619,T. Depression
1620,T. Storm
1621,T. Storm
1622,T. Depression
1623,T. Storm
1624,Category 1
1625,T. Storm
1626,T. Storm
1627,Category 1
1628,Category 1
1629,T. Depression
1630,T. Storm
1631,T. Storm
1632,T. Storm
1633,T. Depression
1634,T. Storm
1635,T. Storm
1636,T. Depression
1637,T. Storm
1638,Category 2
1639,Category 3
1640,Category 1
1641,T. Storm
1642,Category 1
1643,T. Depression
1644,T. Storm
1645,T. Storm
1646,T. Storm
1647,Category 2
1648,T. Storm
1649,T. Depression
1650,Category 2
1651,T. Storm
1652,T. Storm
1653,T. Storm
1654,T. Depression
1655,T. Depression
1656,T. Storm
1657,T. Storm
1658,T. Storm
1659,T. Depression
1660,T. Depression
1661,T. Depression
1662,Category 3
1663,T. Storm
1664,T. Depression
1665,Category 1
1666,T. Depression
1667,Category 1
1668,T. Storm
1669,Category 1
1670,T. Storm
1671,T. Depression
1672,T. Storm
1673,T. Storm
1674,Category 3
1675,T. Depression
1676,T. Depression
1677,Category 2
1678,Category 3
1679,Category 1
1680,T. Storm
1681,T. Depression
1682,T. Depression
1683,T. Storm
1684,T. Depression
1685,T. Storm
1686,T. Storm
1687,T. Storm
1688,T. Storm
1689,T. Storm
1690,Category 3
1691,T. Storm
1692,T. Depression
1693,T. Storm
1694,T. Storm
1695,T. Storm
1696,T. Depression
1697,Category 1
1698,T. Depression
1699,T. Depression
1700,T. Storm
1701,T. Depression
1702,T. Storm
1703,Category 1
1704,Category 1
1705,T. Depression
1706,T. Depression
1707,T. Depression
